,Specialty,State,METHADONE.HCL,OXYCODONE.ACETAMINOPHEN,HYDROCODONE.ACETAMINOPHEN,ACETAMINOPHEN.CODEINE,FENTANYL,TRAMADOL.HCL,MORPHINE.SULFATE.ER,OXYCODONE.HCL,MORPHINE.SULFATE,OXYCONTIN,HYDROMORPHONE.HCL
9754,Ophthalmology,MD,0,0,0,0,0,0,0,0,0,0,0
9755,Internal Medicine,NY,0,0,0,0,0,0,0,0,0,0,0
9756,Cardiology,NC,0,26,187,0,0,43,0,17,0,0,0
9757,Nurse Practitioner,VA,0,55,49,0,0,124,0,11,0,0,0
9758,Gastroenterology,FL,0,0,0,0,0,0,0,0,0,0,0
9759,Emergency Medicine,PA,32,449,120,0,15,124,0,293,0,24,11
9760,Cardiology,KY,0,0,0,0,0,0,0,0,0,0,0
9761,Nurse Practitioner,OH,0,0,0,0,0,0,0,0,0,0,0
9762,Family Practice,VA,0,0,0,0,0,42,0,0,0,0,0
9763,Internal Medicine,AZ,0,51,29,0,0,0,0,0,0,0,0
9764,Internal Medicine,MA,12,0,157,66,0,112,0,11,0,0,0
9765,Nurse Practitioner,KY,0,0,0,0,0,0,0,0,0,0,0
9766,Physical Medicine and Rehabilitation,PA,0,21,0,0,0,26,0,30,0,11,0
9767,Gastroenterology,MA,0,0,0,0,0,0,0,0,0,0,0
9768,Orthopedic Surgery,FL,0,0,0,0,0,0,0,0,0,0,0
9769,Family Practice,IN,0,23,159,0,0,38,0,0,0,11,0
9770,Internal Medicine,TX,0,0,0,0,0,88,0,0,0,0,0
9771,Nurse Practitioner,MD,0,0,0,0,0,11,0,0,0,0,0
9772,Internal Medicine,MD,0,16,32,0,0,0,13,0,0,0,0
9773,Emergency Medicine,OH,0,0,32,0,0,25,0,0,0,0,0
9774,Obstetrics/Gynecology,NY,0,0,0,0,0,0,0,0,0,0,0
9775,Orthopedic Surgery,PA,0,0,86,0,0,0,0,0,0,0,0
9776,Otolaryngology,VA,0,13,50,0,0,0,0,0,0,0,0
9777,Family Practice,PA,0,0,151,0,0,15,12,13,0,0,0
9778,Podiatry,MO,0,12,29,0,0,0,0,0,0,0,0
9779,Psychiatry,FL,0,0,0,0,0,0,0,0,0,0,0
9780,Dentist,MI,0,0,0,0,0,0,0,0,0,0,0
9781,Psychiatry,MA,0,0,0,0,0,0,0,0,0,0,0
9782,Obstetrics/Gynecology,CA,0,0,0,0,0,0,0,0,0,0,0
9783,Cardiology,CO,0,0,0,0,0,0,0,0,0,0,0
9784,Physician Assistant,OH,0,0,16,0,0,0,0,0,0,0,0
9785,Family Practice,IL,0,25,235,14,14,41,23,55,13,0,0
9786,General Surgery,WI,0,0,13,0,0,0,0,0,0,0,0
9787,Neurology,CA,0,0,45,0,0,0,0,0,0,0,0
9788,Dentist,CA,0,0,0,0,0,0,0,0,0,0,0
9789,Obstetrics/Gynecology,MO,0,0,0,0,0,0,0,0,0,0,0
9790,Physician Assistant,IL,0,0,0,0,0,0,0,0,0,0,0
9791,Obstetrics/Gynecology,MO,0,0,0,0,0,0,0,0,0,0,0
9792,Internal Medicine,CA,0,22,168,0,0,63,0,16,0,0,0
9793,Emergency Medicine,TX,0,0,74,0,0,0,0,0,0,0,0
9794,Nurse Practitioner,NY,0,0,29,0,0,0,0,0,0,0,0
9795,Family Practice,SC,0,0,16,0,0,0,0,0,0,0,0
9796,Family Practice,WV,0,29,182,0,37,111,12,0,0,0,0
9797,Family Practice,NC,0,116,405,0,0,277,0,0,0,14,0
9798,Emergency Medicine,TX,0,0,16,0,0,0,0,0,0,0,0
9799,Psychiatry,TX,0,0,0,0,0,0,0,0,0,0,0
9800,Internal Medicine,NC,0,0,12,0,0,27,0,0,0,0,0
9801,Obstetrics/Gynecology,AL,0,0,0,0,0,0,0,0,0,0,0
9802,General Practice,PR,0,0,0,0,0,0,0,0,0,0,0
9803,Gastroenterology,IL,0,0,0,0,0,0,0,0,0,0,0
9804,Physician Assistant,CA,0,16,33,0,0,0,0,0,0,0,0
9805,Emergency Medicine,NH,0,11,0,0,0,0,0,0,0,0,0
9806,Emergency Medicine,WA,0,0,30,0,0,12,0,0,0,0,0
9807,Emergency Medicine,NY,0,0,0,0,0,0,0,0,0,0,0
9808,Anesthesiology,CO,0,0,0,0,0,0,0,0,0,0,0
9809,Internal Medicine,NC,0,0,0,0,0,0,0,0,0,0,0
9810,Internal Medicine,SC,0,0,16,0,0,13,0,0,0,0,0
9811,Internal Medicine,TN,0,68,1076,15,0,162,0,0,0,0,0
9812,Family Practice,NH,0,30,24,0,0,15,0,21,0,0,0
9813,Hematology/Oncology,IL,0,0,73,0,0,0,22,0,0,0,0
9814,Dentist,FL,0,0,21,0,0,0,0,0,0,0,0
9815,Emergency Medicine,WA,0,0,43,0,0,0,0,16,0,0,0
9816,Family Practice,OH,0,41,77,0,0,100,0,0,0,0,0
9817,Orthopedic Surgery,GA,0,77,127,0,0,95,0,0,0,0,0
9818,Dentist,NC,0,0,0,0,0,0,0,0,0,0,0
9819,Dentist,OR,0,0,11,0,0,0,0,0,0,0,0
9820,Family Practice,NJ,0,0,0,0,0,24,0,0,0,0,0
9821,Nurse Practitioner,NY,0,23,0,0,0,0,0,17,0,0,0
9822,Dentist,CA,0,0,0,0,0,0,0,0,0,0,0
9823,Psychiatry & Neurology,NY,0,0,0,0,0,0,0,0,0,0,0
9824,Obstetrics/Gynecology,TX,0,0,12,0,0,0,0,0,0,0,0
9825,Family Practice,PA,0,0,13,0,0,0,0,14,0,0,0
9826,Internal Medicine,NY,12,91,205,0,45,53,0,41,0,27,19
9827,Neurology,MI,0,0,17,0,0,12,0,0,0,0,0
9828,Pediatric Medicine,NY,0,0,0,0,0,0,0,0,0,0,0
9829,Nurse Practitioner,KS,0,0,27,0,0,12,0,0,0,0,0
9830,Internal Medicine,NY,13,38,19,0,0,13,0,27,0,0,0
9831,Gastroenterology,VA,0,0,0,0,0,0,0,0,0,0,0
9832,Ophthalmology,NY,0,0,0,0,0,0,0,0,0,0,0
9833,Dentist,CA,0,0,0,0,0,0,0,0,0,0,0
9834,Cardiology,NC,0,0,0,0,0,0,0,0,0,0,0
9835,Psychiatry,CA,0,0,0,0,0,0,0,0,0,0,0
9836,Neurology,CT,0,0,0,0,0,0,0,0,0,0,0
9837,General Practice,PR,0,88,0,0,0,279,0,0,0,0,0
9838,Nurse Practitioner,OH,0,0,82,0,0,39,0,0,0,0,0
9839,Neurology,AL,0,0,0,0,0,0,0,0,0,0,0
9840,Nurse Practitioner,CO,0,0,0,0,0,0,0,0,0,0,0
9841,Family Practice,IN,0,0,73,0,0,24,11,0,0,0,0
9842,Internal Medicine,OH,0,65,65,17,0,190,0,0,0,0,0
9843,Nurse Practitioner,MS,0,0,0,0,0,14,0,0,0,0,0
9844,Family Practice,NC,0,0,19,0,0,19,0,0,0,0,0
9845,Internal Medicine,OR,0,37,34,14,24,67,0,19,0,0,0
9846,Emergency Medicine,NY,0,0,15,0,0,29,0,0,0,0,0
9847,Urology,NY,0,25,0,0,0,0,0,0,0,0,0
9848,Family Practice,NY,0,0,0,0,0,20,0,0,0,0,0
9849,Emergency Medicine,FL,0,0,16,0,0,0,0,0,0,0,0
9850,Internal Medicine,CA,13,163,1255,59,17,113,27,27,0,0,0
9851,Rheumatology,NY,0,0,15,0,0,17,0,0,0,0,0
9852,Family Practice,IN,0,0,150,0,0,70,0,0,0,0,0
9853,Dentist,NY,0,0,0,0,0,0,0,0,0,0,0
9854,Anesthesiology,IL,0,20,177,0,97,28,0,0,0,0,12
9855,Physical Medicine and Rehabilitation,MO,0,0,62,0,0,39,0,0,0,0,0
9856,Psychiatry,CA,0,0,0,0,0,0,0,0,0,0,0
9857,Orthopedic Surgery,TX,0,0,412,0,0,148,0,0,0,0,0
9858,Obstetrics/Gynecology,PR,0,0,0,0,0,0,0,0,0,0,0
9859,General Practice,NY,0,0,0,38,0,0,0,0,0,0,0
9860,Physician Assistant,IL,0,0,0,0,0,0,0,0,0,0,0
9861,Podiatry,MA,0,14,0,0,0,0,0,0,0,0,0
9862,Dentist,MI,0,0,0,0,0,0,0,0,0,0,0
9863,Nurse Practitioner,CT,0,0,0,0,0,0,0,0,0,0,0
9864,Internal Medicine,CA,0,0,251,36,34,106,0,14,0,0,0
9865,Physician Assistant,NM,0,11,0,12,0,0,0,0,0,0,0
9866,Internal Medicine,CO,0,59,120,18,28,104,31,41,0,0,0
9867,Family Practice,FL,0,0,0,0,0,0,0,0,0,0,0
9868,Family Practice,CA,0,0,82,0,16,18,0,0,0,0,0
9869,Ophthalmology,NC,0,0,0,0,0,0,0,0,0,0,0
9870,Obstetrics/Gynecology,IL,0,0,0,0,0,0,0,0,0,0,0
9871,Internal Medicine,NY,0,0,12,0,0,26,0,11,0,0,0
9872,Physical Medicine and Rehabilitation,FL,0,0,0,0,0,27,0,0,0,0,0
9873,Physical Medicine and Rehabilitation,NJ,0,0,0,0,18,0,0,32,0,0,0
9874,Internal Medicine,NY,0,0,0,0,0,0,0,0,0,0,0
9875,Family Practice,CA,0,0,20,0,0,0,0,0,0,0,0
9876,Psychiatry,ID,0,0,0,0,0,0,0,0,0,0,0
9877,Emergency Medicine,TN,0,46,0,0,0,12,0,0,0,0,0
9878,Internal Medicine,TX,0,0,0,0,0,0,0,0,0,0,0
9879,Dentist,NV,0,0,0,0,0,0,0,0,0,0,0
9880,Internal Medicine,CA,0,0,14,0,0,0,0,0,0,0,0
9881,Internal Medicine,LA,0,0,35,0,0,80,0,0,0,0,0
9882,Neurology,CA,0,0,17,0,0,27,0,0,0,0,0
9883,Nurse Practitioner,WA,0,0,62,16,29,79,11,32,0,0,0
9884,Orthopedic Surgery,AZ,0,0,20,0,0,0,0,0,0,0,0
9885,Dentist,FL,0,0,0,0,0,0,0,0,0,0,0
9886,Pulmonary Disease,WV,0,0,0,0,0,0,0,0,0,0,0
9887,Endocrinology,VA,0,0,0,0,0,0,0,0,0,0,0
9888,Dermatology,FL,0,0,0,0,0,0,0,0,0,0,0
9889,Internal Medicine,MI,0,13,210,0,0,32,25,13,0,0,0
9890,Psychiatry,NY,0,0,0,0,0,0,0,0,0,0,0
9891,Dentist,CA,0,0,14,16,0,0,0,0,0,0,0
9892,Allergy/Immunology,FL,0,0,0,0,0,0,0,0,0,0,0
9893,Cardiology,PA,0,0,0,0,0,0,0,0,0,0,0
9894,Pulmonary Disease,PA,0,0,0,0,0,0,0,0,0,0,0
9895,Ophthalmology,IA,0,0,0,0,0,0,0,0,0,0,0
9896,Dentist,GA,0,0,12,0,0,0,0,0,0,0,0
9897,Internal Medicine,KY,0,0,0,0,0,0,0,0,0,0,0
9898,Nurse Practitioner,MA,0,0,0,0,0,0,0,0,0,0,0
9899,General Surgery,GA,0,28,21,0,0,0,0,0,0,0,0
9900,Optometry,NE,0,0,0,0,0,0,0,0,0,0,0
9901,Cardiology,CO,0,0,0,0,0,0,0,0,0,0,0
9902,Emergency Medicine,FL,0,0,32,0,0,23,0,0,0,0,0
9903,Family Practice,AL,0,106,481,30,98,76,30,46,0,0,28
9904,Nurse Practitioner,UT,0,31,50,0,0,18,0,13,0,0,0
9905,Ophthalmology,NY,0,0,0,0,0,0,0,0,0,0,0
9906,Family Practice,TX,0,0,0,0,0,23,0,0,0,0,0
9907,Dentist,MN,0,0,0,0,0,0,0,0,0,0,0
9908,Nurse Practitioner,IN,0,0,0,0,0,0,0,0,0,0,0
9909,Student in an Organized Health Care Education/Training Program,MO,0,0,0,0,0,0,0,0,0,0,0
9910,Family Practice,CA,23,20,0,0,0,0,0,0,0,0,0
9911,Nurse Practitioner,AZ,0,0,0,0,0,0,0,0,0,0,0
9912,Nurse Practitioner,WI,0,0,0,0,0,0,0,0,0,0,0
9913,Dentist,VA,0,0,20,0,0,0,0,0,0,0,0
9914,Nurse Practitioner,FL,0,0,0,0,0,0,0,0,0,0,0
9915,Physician Assistant,IL,0,0,0,0,0,0,0,0,0,0,0
9916,Psychiatry & Neurology,FL,0,0,0,0,0,0,0,0,0,0,0
9917,Emergency Medicine,MO,0,0,12,0,0,0,0,0,0,0,0
9918,Nurse Practitioner,FL,0,0,0,0,0,0,0,0,0,0,0
9919,Emergency Medicine,CO,0,0,0,0,0,16,0,0,0,0,0
9920,Physician Assistant,PA,0,0,0,0,0,0,0,0,0,0,0
9921,Nurse Practitioner,LA,0,0,0,0,0,74,0,0,0,0,0
9922,Nurse Practitioner,NC,0,0,0,0,0,0,0,99,0,0,20
9923,Nurse Practitioner,TN,0,11,21,0,0,0,0,0,0,0,0
9924,Podiatry,CA,0,0,0,0,0,0,0,0,0,0,0
9925,Psychiatry & Neurology,TX,0,0,0,0,0,0,0,0,0,0,0
9926,Family Practice,DE,0,20,116,14,14,46,28,0,0,0,0
9927,Emergency Medicine,IL,0,0,51,0,0,0,0,0,0,0,0
9928,Emergency Medicine,TX,0,0,96,18,0,34,0,0,0,0,0
9929,Nurse Practitioner,NC,0,0,0,0,0,0,0,0,0,0,0
9930,Physician Assistant,UT,0,0,0,0,0,0,0,0,0,0,0
9931,Physician Assistant,NY,0,0,0,0,0,0,0,0,0,0,0
9932,Physician Assistant,WA,0,0,0,0,0,0,0,0,0,0,0
9933,Nurse Practitioner,TX,0,0,28,13,0,0,0,0,0,0,0
9934,Student in an Organized Health Care Education/Training Program,NY,0,0,0,0,0,0,0,0,0,0,0
9935,Nurse Practitioner,MN,0,12,20,0,0,14,0,0,0,0,0
9936,Physician Assistant,NY,0,0,0,0,0,0,0,0,0,0,0
9937,Physician Assistant,NM,0,0,13,0,0,0,0,0,0,0,0
9938,General Practice,FL,0,0,63,14,0,46,0,0,0,0,0
9939,General Surgery,TX,0,0,12,0,0,0,0,0,0,0,0
9940,Internal Medicine,MA,0,0,0,0,0,0,0,0,0,0,0
9941,Physician Assistant,WA,0,0,55,0,0,24,0,13,0,26,0
9942,Physician Assistant,MI,0,14,59,0,0,14,12,0,0,0,0
9943,Otolaryngology,NJ,0,0,0,0,0,0,0,0,0,0,0
9944,Gastroenterology,GA,0,0,0,0,0,0,0,0,0,0,0
9945,Family Practice,IA,0,0,0,0,0,0,0,0,0,0,0
9946,Family Practice,NE,13,73,420,23,64,87,25,22,20,0,0
9947,Physical Medicine and Rehabilitation,FL,66,248,118,18,113,0,154,175,23,24,64
9948,Physician Assistant,UT,0,0,20,0,0,0,0,0,0,0,0
9949,Internal Medicine,TX,0,15,338,49,13,286,0,0,0,0,0
9950,Endocrinology,NC,0,0,0,0,0,0,0,0,0,0,0
9951,Allergy/Immunology,AZ,0,0,0,0,0,0,0,0,0,0,0
9952,Obstetrics/Gynecology,WV,0,0,0,0,0,0,0,0,0,0,0
9953,Cardiology,MD,0,0,0,0,0,0,0,0,0,0,0
9954,Obstetrics/Gynecology,CA,0,0,11,0,0,0,0,0,0,0,0
9955,Family Practice,KS,0,18,89,0,0,21,16,0,0,0,0
9956,Neurology,OK,0,12,29,0,0,0,15,0,0,0,0
9957,Internal Medicine,OR,0,0,173,51,41,37,0,82,0,0,0
9958,Obstetrics/Gynecology,TX,0,0,0,0,0,0,0,0,0,0,0
9959,Ophthalmology,OH,0,0,0,0,0,0,0,0,0,0,0
9960,Neurology,MN,0,0,0,0,0,0,0,0,0,0,0
9961,Internal Medicine,OK,0,0,101,0,0,24,0,18,0,0,0
9962,Nurse Practitioner,IN,0,34,129,0,0,80,0,0,0,0,0
9963,Physician Assistant,IA,0,0,37,0,0,54,0,0,0,0,0
9964,Psychiatry,OR,0,0,0,0,0,0,0,0,0,0,0
9965,Hematology/Oncology,AZ,0,36,46,0,0,0,0,22,0,0,0
9966,Neurology,FL,0,0,43,0,15,14,25,0,0,0,0
9967,Internal Medicine,MA,0,25,14,0,0,31,0,0,0,0,0
9968,Internal Medicine,OH,0,63,307,0,0,167,0,0,0,11,0
9969,Internal Medicine,MA,0,12,0,0,0,0,0,0,0,0,0
9970,Internal Medicine,OK,0,23,125,0,0,234,0,0,0,0,0
9971,Family Practice,PA,0,0,20,0,0,21,0,17,0,0,0
9972,Internal Medicine,MA,0,11,17,0,0,65,0,26,0,0,0
9973,Physician Assistant,TX,0,0,19,0,0,35,0,0,0,0,0
9974,Obstetrics/Gynecology,OH,0,0,0,0,0,0,0,0,0,0,0
9975,Gastroenterology,OR,0,0,0,0,0,0,0,0,0,0,0
9976,Internal Medicine,TN,0,0,31,0,0,0,0,0,0,0,0
9977,Nurse Practitioner,OH,0,0,14,15,0,34,0,0,0,0,0
9978,Physician Assistant,MN,0,0,0,0,0,0,0,0,0,0,0
9979,Dentist,RI,0,0,0,0,0,0,0,0,0,0,0
9980,Nephrology,MO,0,163,171,0,22,51,0,0,0,30,0
9981,Optometry,CO,0,0,0,0,0,0,0,0,0,0,0
9982,Physician Assistant,SD,0,0,0,0,0,0,0,0,0,0,0
9983,Nephrology,WI,0,0,0,0,0,0,0,0,0,0,0
9984,Emergency Medicine,WI,0,0,30,0,0,0,0,0,0,0,0
9985,Dermatology,NY,0,0,0,0,0,0,0,0,0,0,0
9986,General Practice,CA,0,0,15,0,0,0,0,0,0,0,0
9987,Physician Assistant,WA,0,0,20,0,0,0,0,0,0,0,0
9988,Optometry,FL,0,0,0,0,0,0,0,0,0,0,0
9989,Family Practice,VA,0,0,0,0,0,11,0,0,0,0,0
9990,Internal Medicine,FL,0,110,373,0,101,227,22,24,16,0,36
9991,Cardiology,TX,0,0,0,0,0,0,0,0,0,0,0
9992,Physician Assistant,WI,0,0,0,0,0,19,0,0,0,0,0
9993,Otolaryngology,FL,0,0,0,0,0,0,0,0,0,0,0
9994,Family Practice,TX,0,0,0,0,0,0,0,0,0,0,0
9995,Family Practice,MD,0,0,0,0,0,0,0,38,0,0,0
9996,Cardiology,PA,0,0,0,0,0,0,0,0,0,0,0
9997,Endocrinology,NY,0,0,0,0,0,0,0,0,0,0,0
9998,Family Practice,CO,0,17,20,0,0,13,0,31,0,0,0
9999,Hematology/Oncology,GA,0,16,123,0,0,12,48,39,0,0,0
10000,Allergy/Immunology,MD,0,0,0,0,0,0,0,0,0,0,0
10001,Internal Medicine,NY,0,0,0,0,0,0,0,0,0,0,0
10002,Nurse Practitioner,NY,0,0,98,0,22,0,0,31,0,0,0
10003,Nurse Practitioner,PA,0,0,0,0,0,0,0,0,0,0,0
10004,General Surgery,MO,0,0,37,0,0,0,0,0,0,0,0
10005,Family Practice,OH,0,54,231,0,48,129,24,0,0,0,0
10006,Family Practice,KY,0,0,1289,31,0,128,0,24,0,0,0
10007,Dentist,PA,0,0,0,0,0,0,0,0,0,0,0
10008,Physician Assistant,TX,0,0,0,0,0,33,0,0,0,0,0
10009,General Surgery,WA,0,0,18,0,0,0,0,0,0,0,0
10010,Orthopedic Surgery,NY,0,0,49,0,0,0,0,0,0,0,0
10011,Obstetrics/Gynecology,VA,0,0,0,0,0,0,0,0,0,0,0
10012,Dentist,OK,0,0,27,0,0,0,0,0,0,0,0
10013,Podiatry,MN,0,0,0,0,0,0,0,0,0,0,0
10014,Pediatric Medicine,IL,0,0,0,0,0,0,0,0,0,0,0
10015,Family Practice,TX,0,0,301,21,11,97,28,0,15,0,0
10016,Nurse Practitioner,FL,0,0,0,0,0,0,0,0,0,0,0
10017,Dentist,MO,0,0,0,0,0,0,0,0,0,0,0
10018,Ophthalmology,VT,0,0,0,0,0,0,0,0,0,0,0
10019,Nephrology,NC,0,0,0,0,0,0,0,0,0,0,0
10020,Dentist,NC,0,0,0,0,0,0,0,0,0,0,0
10021,Physician Assistant,SC,0,0,63,0,0,82,0,0,0,0,0
10022,Hematology/Oncology,TN,0,64,86,0,30,0,26,18,0,0,22
10023,Internal Medicine,WA,32,200,490,24,257,534,275,812,59,113,76
10024,Family Practice,OH,0,0,28,0,0,0,0,0,0,0,0
10025,Physician Assistant,CA,0,20,85,0,0,19,0,0,0,0,0
10026,Internal Medicine,CA,14,0,58,0,21,40,0,27,0,14,0
10027,Internal Medicine,GA,0,39,140,0,20,126,0,0,0,0,0
10028,Rheumatology,TX,0,0,843,151,0,464,0,0,0,0,0
10029,Pulmonary Disease,PA,0,0,0,0,0,0,0,0,0,0,0
10030,Obstetrics/Gynecology,NY,0,0,0,0,0,0,0,0,0,0,0
10031,Psychiatry & Neurology,NY,0,0,0,0,0,0,0,0,0,0,0
10032,Otolaryngology,MI,0,0,20,0,0,0,0,0,0,0,0
10033,Family Practice,IN,12,33,231,23,37,233,11,0,0,0,0
10034,Internal Medicine,TX,0,0,208,0,0,313,0,0,0,0,0
10035,Physical Medicine and Rehabilitation,MI,0,0,33,0,0,34,0,0,0,0,0
10036,Emergency Medicine,IN,0,24,294,0,0,51,0,11,0,0,0
10037,Ophthalmology,SC,0,0,0,0,0,0,0,0,0,0,0
10038,Family Practice,ID,0,15,224,0,74,97,0,93,0,31,0
10039,General Surgery,WA,0,0,17,0,0,0,0,0,0,0,0
10040,Emergency Medicine,MI,0,0,86,15,0,13,0,0,0,0,0
10041,Family Practice,CA,0,0,0,0,0,0,0,0,0,0,0
10042,Internal Medicine,OR,0,0,48,11,24,0,20,57,19,0,0
10043,Psychiatry,MN,0,0,0,0,0,0,0,0,0,0,0
10044,Dentist,TN,0,0,12,0,0,0,0,0,0,0,0
10045,Dentist,FL,0,0,33,0,0,0,0,0,0,0,0
10046,Internal Medicine,NC,0,0,0,0,0,0,0,0,0,0,0
10047,Internal Medicine,NY,0,36,12,13,0,30,0,0,0,0,0
10048,Dentist,KY,0,0,15,0,0,0,0,0,0,0,0
10049,Dentist,FL,0,0,49,0,0,0,0,0,0,0,0
10050,Dentist,MI,0,0,0,0,0,0,0,0,0,0,0
10051,Psychiatry & Neurology,VA,0,0,0,0,0,0,0,0,0,0,0
10052,Internal Medicine,MI,0,0,0,0,0,0,0,0,0,0,0
10053,Cardiology,TN,0,0,32,0,0,0,0,0,0,0,0
10054,Dentist,FL,0,0,0,0,0,17,0,0,0,0,0
10055,Internal Medicine,CO,0,50,206,0,20,153,20,16,0,0,15
10056,Dentist,CA,0,0,0,0,0,0,0,0,0,0,0
10057,Dentist,MO,0,0,14,0,0,0,0,0,0,0,0
10058,Pulmonary Disease,WA,0,0,0,0,0,0,0,0,0,0,0
10059,Obstetrics/Gynecology,GA,0,0,11,0,0,0,0,0,0,0,0
10060,Nurse Practitioner,MT,0,0,21,0,12,0,0,0,0,0,0
10061,Orthopedic Surgery,CA,0,0,66,0,0,0,0,0,0,0,0
10062,Dentist,OH,0,0,0,0,0,0,0,0,0,0,0
10063,Dentist,NJ,0,0,0,0,0,0,0,0,0,0,0
10064,Dentist,NY,0,0,0,0,0,0,0,0,0,0,0
10065,Dentist,ID,0,0,0,0,0,0,0,0,0,0,0
10066,Family Practice,KS,0,0,24,0,0,0,0,0,0,0,0
10067,Family Practice,CA,0,0,25,0,0,0,0,0,0,0,0
10068,Dentist,CA,0,0,0,0,0,0,0,0,0,0,0
10069,Gastroenterology,IL,0,0,0,0,0,0,0,0,0,0,0
10070,Emergency Medicine,HI,0,15,11,0,0,0,0,0,0,0,0
10071,Emergency Medicine,FL,0,95,87,0,0,20,0,0,0,0,0
10072,Dentist,FL,0,0,28,0,0,0,0,0,0,0,0
10073,Psychiatry,CO,0,0,0,0,0,0,0,0,0,0,0
10074,Optometry,TN,0,0,0,0,0,0,0,0,0,0,0
10075,Family Practice,PA,0,14,108,0,0,22,0,0,0,0,0
10076,Family Practice,FL,0,70,398,0,0,117,0,64,0,0,0
10077,Nephrology,KS,0,0,38,0,0,43,0,0,0,0,0
10078,Orthopedic Surgery,TX,0,0,24,0,0,0,0,0,0,0,0
10079,Nurse Practitioner,OH,0,0,0,0,0,0,0,0,0,0,0
10080,Dentist,MO,0,0,0,0,0,0,0,0,0,0,0
10081,Psychiatry & Neurology,CA,0,0,0,0,0,0,0,0,0,0,0
10082,Internal Medicine,NY,0,116,33,0,27,31,0,0,0,18,0
10083,Internal Medicine,DC,0,0,0,0,0,0,0,0,0,0,0
10084,Psychiatry & Neurology,MD,0,0,0,0,0,0,0,0,0,0,0
10085,Dentist,WI,0,0,0,0,0,0,0,0,0,0,0
10086,Dentist,NJ,0,0,0,0,0,0,0,0,0,0,0
10087,Cardiology,CT,0,0,0,0,0,0,0,0,0,0,0
10088,Dentist,OH,0,0,18,0,0,0,0,0,0,0,0
10089,Family Practice,CO,20,22,85,0,0,36,20,13,0,0,28
10090,Nurse Practitioner,TX,0,0,18,0,0,39,0,0,0,0,0
10091,Psychiatry,IL,0,0,0,0,0,0,0,0,0,0,0
10092,Podiatry,IL,0,0,0,0,0,0,0,0,0,0,0
10093,Psychiatry,MO,0,0,0,0,0,0,0,0,0,0,0
10094,Psychiatry,NY,0,0,0,0,0,0,0,0,0,0,0
10095,Dentist,MI,0,0,0,0,0,0,0,0,0,0,0
10096,Dentist,IL,0,0,0,0,0,0,0,0,0,0,0
10097,Physician Assistant,KY,0,0,0,0,0,0,0,0,0,0,0
10098,Ophthalmology,TX,0,0,0,0,0,0,0,0,0,0,0
10099,Family Practice,NY,0,13,43,0,13,0,13,0,0,0,0
10100,Psychiatry & Neurology,NC,0,0,0,0,0,0,0,0,0,0,0
10101,Infectious Disease,NV,0,0,0,0,0,0,0,0,0,0,0
10102,General Surgery,OR,0,0,24,0,0,0,0,0,0,0,0
10103,General Surgery,IL,0,0,25,0,0,0,0,0,0,0,0
10104,Urology,MA,0,14,0,0,0,0,0,0,0,0,0
10105,Physician Assistant,NC,0,57,145,0,0,37,15,97,0,0,0
10106,Gastroenterology,CA,0,0,0,0,0,0,0,0,0,0,0
10107,Physician Assistant,NY,0,0,0,0,0,0,0,0,0,0,0
10108,Internal Medicine,AR,0,0,0,0,0,0,0,0,0,0,0
10109,Family Practice,CO,0,0,55,17,0,0,13,19,0,0,0
10110,Neurology,AZ,0,0,0,0,0,0,0,0,0,0,0
10111,Nurse Practitioner,OR,0,0,0,0,0,0,0,0,0,0,0
10112,Podiatry,MI,0,0,46,0,0,0,0,0,0,0,0
10113,Physician Assistant,NV,43,101,238,0,115,0,130,140,69,29,105
10114,Dermatology,NC,0,0,17,0,0,0,0,0,0,0,0
10115,Dentist,PA,0,0,0,0,0,0,0,0,0,0,0
10116,Family Practice,MT,0,0,0,0,0,0,0,0,0,0,0
10117,Physician Assistant,KS,0,0,0,0,0,0,0,0,0,0,0
10118,Dermatology,LA,0,0,0,0,0,0,0,0,0,0,0
10119,Nurse Practitioner,CA,0,40,42,0,47,0,17,80,0,0,0
10120,Pulmonary Disease,MD,0,0,0,0,0,0,0,0,0,0,0
10121,Internal Medicine,CA,0,0,57,0,0,21,0,0,0,0,12
10122,Physician Assistant,NE,0,0,0,0,0,0,0,0,0,0,0
10123,Emergency Medicine,IL,0,12,108,0,0,0,0,0,0,0,0
10124,Nurse Practitioner,NY,0,0,0,0,0,0,0,0,0,0,0
10125,Psychiatry & Neurology,NJ,0,0,0,0,0,0,0,0,0,0,0
10126,Nurse Practitioner,NH,0,0,33,0,0,22,0,0,0,0,0
10127,Nurse Practitioner,GA,0,0,0,0,0,0,0,0,0,0,0
10128,Student in an Organized Health Care Education/Training Program,NY,0,0,0,0,0,0,0,0,0,0,0
10129,Nurse Practitioner,CO,0,0,29,0,0,0,0,0,0,0,0
10130,Physician Assistant,CA,0,0,0,0,0,0,0,0,0,0,0
10131,Dentist,NJ,0,0,0,0,0,0,0,0,0,0,0
10132,Infectious Disease,NC,0,0,0,0,0,0,0,0,0,0,0
10133,Podiatry,NY,0,23,0,0,0,0,0,0,0,0,0
10134,Internal Medicine,TX,0,0,0,0,0,0,0,0,0,0,0
10135,Nurse Practitioner,IL,0,0,0,0,0,0,0,0,0,0,0
10136,Psychiatry & Neurology,CA,0,0,0,0,0,0,0,0,0,0,0
10137,Family Practice,NJ,0,0,0,0,0,0,0,0,0,0,0
